Project,Firm,Date,Description,Credits,Theme,
The Baldwin,DiMella Shaffer,2024,"The Baldwin is a vibrant, walkable, mixed-use life-plan community nestled within a planned urban development. Its mission of 'Life at its Core' empowers residents to be the architects of their own well-being through freedom and choice, fostering engagement, inclusivity, and dignity.","(Architect) DiMella Shaffer
(Engineer) Civil: SMRT;
(Engineer) MEP/FP: AKF;
(Engineer Structural) L.A. Fuess Partners;
(General Contractor) Harvey Construction;
(Landscape Architect) Crowley Cottrell;
(OPM) Trident Group;
(Lighting) HLB;
(Acoustics) Acentech;
(AV) AKF;
(Code) AKF;
(Envelope) Building Envelope Technologies;
(Food) Colburne Guyette; Crabtree McGrath Associates;
(Specifications) Putnam Associates Specifiers;
(Pool) RMD Collaborative;
(Telecommunications/Data Engineering) AKF
Photo © Robert Benson
",Sites of Belonging,
Charles River Speedway,Bruner/Cott Architects,2021,The Charles River Speedway is a multi-building reuse project that combines historic preservation and forward-thinking sustainable design. It repositions a 19th century stable and parks department into a vibrant community asset and mixed-use destination in the Allston-Brighton neighborhood of Boston.,"(Architect) Bruner/Cott Architects
(General Contractor) D.F. Pray General Contractors;
(MEP/FP Engineer)	BLW Engineers;
(Structural Engineer) Silman;
(Civil Engineer) Nitsch Engineering
(Landscape Architect) Klopfer Martin Design Group
(Historic Preservation) MacRostie Historic Advisors
(Code Consultant) R.W. Sullivan
(Lighting Design) Lewis Lighting
(Acoustics) Boston Light and Sound
(Geotechnical Engineer)	GEI
(Specifications) Kalin Associates
(Graphics/Signage/Retail) Graffito SP
Photo © Christian Phillips
",Sites of Belonging,
ULTRA-LIGHT [select objects],Christian Borger / ULTRA-LITE STUDIO,2025,"The objects on view from Christian Borger's ULTRA-LIGHT series are a small representation of the project's investigation into items that we find commonality around - specifically the acts of cooking and eating. The dining table is seen as a place not just for the consumption of food, but as a space for conversation, communication, and even collaboration.","Designer: Christian Borger / ULTRA-LITE STUDIO
Photo © Christian Borger
",Sites of Belonging,
SkateGarden,Alice Marcus Krieg,2020,"NIMBYism persists in skatepark design—skaters are seen as deviant, their craft is seen as destructive and disruptive to public space, and liability concerns make skateparks a risky public investment. The design for SkateGarden explores how a garden might soften these perceptions, integrating nature to reduce the harsh cement footprint of a skatepark.","(Designer) Alice Marcus Krieg
(Placemaker, Urban Planner) Alice Marcus Krieg; 
(Executive Director) Pablo Ramirez Foundation/Brooklyn SkateGarden Loren Michelle;
(Project Manager) The SkatePark Project (Tony Hawk Foundation), Alec Beck
Image © Alice Marcus Krieg
",Sites of Belonging,
Bodega Makeover,STA Design,2020,"The project is the renovation of an existing Bodega in Roxbury, Massachusetts for the Bodega Makeover program. Bodega Makeover is the vision of Evelyn Brito, whose mission it is to raise awareness, and help solve, food desert issue in lower income communities by renovating one bodega at a time.","(Architect) STA Design
Photo © STA Design
",Sites of Healing,
Urban Farm Teaching Pavilion,WIT Emerging Tech Studio '24,2025,"The Urban Farm Teaching Pavilion is a collaborative community design project developed between an advanced architecture research studio, a local urban farm, and community-building partners. The project is assembled of prefabricated CNC milled plywood components, designed to be effective and flexible with community events and urban garden operations.","(Architect) Wentworth Emerging Technologies Research Studio ‘24: 
Campbell Brod; Haley Dando; Raymond Lapiejko; Julia Carletti; Kashka Senat; Cesar Dasilvia; Gio Loiacono; Adriana El Hosri; Eliza Call; Sierra Torres; Thomas Wordon; Aidan Morris; Brian Cook
(Instructor) Robert Trumbour; 
(Fabrication Design Consultant + Instructor) Matt Arsenault;
(Community Partners) Haley House; Disha; Alexander Bezek
(Community Partners + Builders) YouthBuild Boston Neil Daniel; Jeremy Donovan; Nathan Polk; Duncan Coakley;
(Structural Engineer) Armando Plata
Image © Campbell Brod, Raymond Lapiejko 
",Sites of Healing,
Masoro Health Center,General Architecture Collaborative,2018,"The Masoro Health Center in Rwanda shows how design can foster equity, sustainability, and community engagement. As a public campus offering healthcare, maternity services, and public gathering spaces, it welcomes all, regardless of social or financial status. Local residents—including women typically excluded from construction—were trained and involved from planning to post-occupancy.","Architect: General Architecture Collaborative
Project Team: 
Co-founder, Principal: Architect of Record, General Architecture Collaborative, James Setzler
Co-founder, Principal: General Architecture Collaborative,Yutaka Sho
Co-founder, Principal: General Architecture Collaborative, Leighton Beaman
Architecture Associate: General Architecture Collaborative, Patrice Ndababonye
Architecture Associate: General Architecture Collaborative, Nicolas Kalimba Rugamba
Architecture Associate: General Architecture Collaborative, Marie Claire Musengayire
Architecture Associate: General Architecture Collaborative,Cynthia Twagirayezu
Architecture Associate: General Architecture Collaborative, Marie Rose Ukwizabigira
Intern: General Architecture Collaborative, Iris Gomm
Intern: General Architecture Collaborative, Mia Shepard
Construction:
General Architecture Collaborative
Structure Stone
Consultants & NGOs:
Kate Spade NY On Purpose
Health Builders
Gardens for Health International
Great Lakes Energy
Photo © Yutaka Sho
",Sites of Healing,
Hope for Life Kitchen,General Architecture Collaborative,2024,"The Hope For Life Boy's Center is a multi-phase campus designed to support vulnerable boys in Kigali through accessible, locally built spaces. The first completed phase, the Hope For Life Kitchen, involves local students, graduates, and community members in its design and construction, building skills and strengthening local ties.","Architect: General Architecture Collaborative
Project Team: 
Co-founder / Principal / Architect of Record, General Architecture Collaborative, James Setzler 
Co-founder / Principal / Architect of Record, General Architecture Collaborative, Yutaka Sho 
Co-founder / Principal / Architect of Record, General Architecture Collaborative, Leighton Beaman
Architecture Associate, General Architecture Collaborative, Patrice Ndababonye
Architecture Associate,General Architecture Collaborative, Nicolas Kalimba Rugamba 
Architecture Associate,General Architecture Collaborative, Marie Claire Musengayire 
Architecture Associate,General Architecture Collaborative, Eric Mutabazi Kayijuka 
Intern, General Architecture Collaborative, Patrick Namude
Intern, General Architecture Collaborative, Issa Hakizimana
Photo © Leighton Beaman
",Sites of Healing,
Comfort Kitchen,Supernormal,2023,"Comfort Kitchen transforms historic public infrastructure from a long-past era into a soft and open platform for contemplating immigrant stories and imagining a better future through the lens of food. The project is an adaptive re-use project that converts a long-abandoned but elegantly designed public comfort station, constructed in 1912.","(Architect) Supernormal
Photo © Jane Messinger
",Sites of Healing,
Black Panther Commemorative Garden,Killion Mokwete [Social Impact Collective] & Parke MacDowell [PAYETTE],2023,"The Black Panther Commemorative Garden in the Roxbury neighborhood of Boston, occupies the site of what was once an information center for the local chapter of the Black Panther Party. A grassroots initiative advocated for the recognition of the community's history of social-justice activism as part of this shared outdoor space.","(Designer) Killion Mokwete [Social Impact Collective] & Parke MacDowell [PAYETTE]
PAYETTE, Beyond Walls, Northeastern University – CAMD, Boston Celtics, City of Boston, Lorraine Wheeler, Denise Malis. 
Many individual volunteers invested their time in community design meetings and work sessions. We’re thankful to them and past and present Winthrop Street residents for their contributions to the neighborhood.
Photo © PAYETTE/Parke MacDowell
",Sites of Healing,
Counter-Memorial for Victims of Police Brutality,Calvin Boyd-Morlani,2025,"Presented in the exhibition is a model for an unbuilt concept for the Counter-Memorial for Victims of Police Brutality. The project proposes that lacerations be made into approximately 18,000 police precincts across America every time a fatal instance of police brutality occurs.","(Architect) Calvin Boyd-Morlani
(Thesis Adviser) Jon Lott;
Drawing and Rhetorical Support: Shaina Yang & Rachel Coulomb
Special thanks to Parke MacDowell, Emily Chowdhury, Sophie Mckenzie, and Sandrine Heroux for fabrication assistance.
Image © Calvin Boyd-Morlani
",Sites of Healing,
Museum of Trees,Chetan Kulkarni,2018,"Veermata Jijabai Bhosale Udyan (erstwhile Victoria Garden), popularly Rani Baug, is a complex of a botanical Garden, zoo and museum in south Mumbai, developed under British colonial rule in the 19th century. Museum of Trees in its phrasing offered a lens to see this colonial 'collection' of trees as ecological wealth that is as archaeologically timeless as the artefacts in the museum.","(Designer) Chetan Kulkarni
Image (c) Samira Rathod Design Atelier / Chetan Kulkarni — from the publication ‘Museum of Trees’ (2018) under the aegis of SPADE India Research Cell
",Sites of Healing,
Global Center for Cleantech Innovation,STA Design,2018,"Greentown Labs is the largest cleantech incubator in the US, and their space includes office space and prototyping space for over 90 companies. This project is a 55,000 Global Center for Cleantech Innovation. In addition to expanding Greentown's reach to many more startup companies, the goal of the new space was to reach out to the external community.","(Architect) STA Design
(Structural) CBI Consulting (now Socotec), Wayne Lawson, PE 
(MEPFP) C3 Engineering (now Rimkus), Ken Wagner, PE
(Civil Engineer) C1.0, Bill Doyle, PE 
Photo © L. Barry Hetherington
",Sites of Learning,
Land's Sake Farmstand,PAYETTE,2024,"Land's Sake is a non-profit community farm preserving rural farming heritage and fostering connections between people, food and the land. The Farmstand and Animal Barn are models for sustainable construction, demonstrating how buildings can be functional, beautiful and environmentally conscious; showcasing a blend of traditional and cutting-edge techniques.","(Architect) PAYETTE
(Construction Manager) Bowdoin Construction (Farmstand);
(Construction Manager) Hybrid Construction (Animal Barn);
(Engineer – Civil) VHB;
(Engineer – MEP) BR+A;
(Engineer – Structural) SGH;
(Code) Howe Engineers;
(Lighting) Borealis Lighting Studio
Photo © Warren Jagger Photography
",Sites of Learning,
Josiah Quincy Upper School,HMFH Architects,2024,"Sited at the threshold of Boston's Chinatown neighborhood, the new LEED Platinum-certified Josiah Quincy Upper School is a dynamic, high-rise school on a less than one-acre site. Located across from the TAC-designed Quincy Elementary School, the new Upper School creates a cohesive academic experience and is a showcase for equitable, community-focused, sustainable design.","(Architect) HMFH Architects, (Pip Lewis);
(Owner’s Project Manager) Skanska, (Jim Dowd);
(Construction Manager) Turner Construction Company, (Jamie Meiser);
(Structural Engineer) LeMessurier, (Bill Lovallo);
(MEP/FP Engineer) GGD Consulting Engineers, (Dom Puniello);
(Civil Engineer) Nitsch Engineering, (Joshua Soares);
(Landscape Architect) Arcadis | IBI Group, (Catherine Offenberg);
(Acoustical & Audio Visual Consultant) Cavanaugh Tocci Associates, (Lincoln Berry);
(Code Consultant) Hastings, (Kevin Hastings);
(Cost Estimator) PM&C, (Peter Bradley);
(Elevator) Syska Hennessy Group, (Janet Moore);
(Envelope Consultant) Thornton Tomasetti, (Melissa Wong);
(Food Service Consultant) Crabtree McGrath Associates, (John Sousa);
(Geotechnical & Geoenvironmental Engineer) McPhail Associates, (Jason Huestis);
(Hardware Consultant) Arc-Spec Consulting, (Roy Willem);
(Hazardous Materials Consultant) Universal Environmental Consultants, (Ammar Dieb);
(Theater Consultant) Theatre Projects, (Michael Lindauer);
(Traffic Engineer) BETA Group, (Kien Ho); 
(Specifications Consultant) Kalin Associates, (Jay Ford);
(Sustainability Consultant) Soden Sustainability Consulting, (Colleen Soden);
Photo © Ed Wonsek ArtWorks Inc. 
",Sites of Learning,
Arlington High School,HMFH Architects,2024,"Through an inclusive engagement process, Arlington High School was conceived as a welcoming public school that fosters connections. It supports meaningful interactions between students, strengthens connections with the Arlington community, and creates connections to the natural environment.","(Architect) HMFH Architects, (Lori Cowles);
(Owner’s Project Manager) Skanska, (Jim Burrows);
(Construction Manager) Consigli Construction Company, (John LaMarre);
(Structural Engineer) Foley Buhl & Roberts Associates, (Jon Buhl);
(MEP/FP Engineer) BALA Consulting Engineers, (Ryan Flynn);
(Civil Engineer) Samiotes Consultants, (Stephen Garvin);
(Landscape Architect) Crosby, Schlessinger, Smallridge, (Deneen Crosby);
(Educational Programmer) New Vista Design, (David Stephen);
(Accessibility Consultant) KMA, (Josh Safdie);
(Acoustical & Theater Consultant) Cavanaugh Tocci Associates, (Lincoln Berry);
(Code Consultant) Hastings, (Kevin Hastings);
(Cost Estimator) PM&C, (Peter Bradley);
(FF&E Consultant) Point Line Space, (Peter Constable);
(Food Service Consultant) ColburnGuyette, (Ed Arons);
(Geotechnical & Geoenvironmental Engineer) McPhail Associates, (Jonathan Patch);
(Hardware Consultant) Arc-Spec Consulting, (Roy Willem);
(Hazardous Materials Consultant) Universal Environmental Consultants, (Ammar Dieb);
(Irrigation Consultant) Irrigation Consulting, (Brian Vinchesi);
(Lighting Consultant) Ripman Lighting Consultants, (Christopher Ripman);
(Technology & Security Consultant) Vanderweil Engineers, (Tom Murphy);
(Traffic Engineer) Bryant Associates, (Todd Brayton); 
(Specifications Consultant) Kalin Associates, (Jay Ford);
(Sports Field Consultant) JJA Sports, (John Amato);
(Sustainability Consultant) Soden Sustainability Consulting, (Colleen Soden);
(Sustainability Consultant) AKF Group, (Jeffrey Rios)
Photo © Robert Benson
",Sites of Learning,
PJM STEM+ Center at Eagle Hill School,ARC/ Architectural Resources Cambridge,2019,Eagle Hill School educates students identified with learning (dis)abilities by providing an intimate and encouraging community that honors the individual and values learning diversity. The design team engaged in intensive research and planning to develop a conceptual framework for a building where the STEM program and pedagogy could be expressed spatially.,"(Architect) ARC/ Architectural Resources Cambridge
(Code) Hastings Consulting, (Kevin Hastings); 
(Envelope) Building Envelope Technologies, (Lance Robson); 
(MEP/FP) R.W Sullivan, (Ralph Mulcahy); 
(Landscape Architect) A.T. Leonard & Associates, (Andrew Leonard); 
(Lighting) LAM Partners, (Glenn Heinmiller); 
(Structure) Boston Building Consultants, (Daniel Platcow); 
(Specifications) Steven McHugh, (Steven McHugh)
Photo © Jeff Goldberg
",Sites of Learning,
Northeastern (ISEC),Payette,2024,"Northeastern University Interdisiplinary Science and Engineering Complex (ISEC) utilizes a cutting-edge building science approach to give form to one of the most sustainable research buildings in the world. A dramatic atrium in between creates a vibrant community for the sciences, the campus and the community.","(Architect) PAYETTE
(Construction Manager) Suffolk Construction;	
(Owner’s Project Manager) Leggat McCall Properties LLC;
(Mechanical Engineer) Arup;
(Electrical Engineer)	Arup;	
(Plumbing Engineer)	Arup;	
(Structural Engineer) LeMessurier;
(Civil Engineer) Nitsch Engineering;
(Code Consultant) Arup;
(Cost Estimator) Vermeulens;
(Interior Design) Payette and Analogue Studio;
(Landscape Architect) Stephen Stimson Associates;		
(Energy Model) Arup;
(Sustainable Design/LEED Consultant) Soden Sustainability Consulting;
(Lighting Designer) Arup;	
(Environmental/Wind) Rowan Williams Davies;
(Acoustical) Acentech;
(Programmer) PAYETTE;
(Programmer) Jacobs;
(Elevator) Van Deusen & Associates;	
(Food Service) Colburn & Guyette Consulting Partners;
(Communications and Security) R.G. Vanderweil;	
(Signage) Roll Barresi & Associates
Photo © Robert Benson
",Sites of Learning,
New Lots Library,MASS Design Group,2025,"MASS has partnered with the Brooklyn Public Library and Marble Fairbanks Architects to respond to a rare and critical opportunity to revitalize the New Lots Branch Library, a building discovered to have been built on a historic African burial ground in what is now known as Brooklyn.","(Architect) MASS Design Group: Alan Ricks, Jonathan Evans, Chris Hardy, Kelvin Adjei-Akosah, Antonieta Bocxe, Jonathan Evans, Chris Hardy, Annie Kountz, Cristoforo Magliozzi, Ana Fernandez Martinez, Alan Ricks, Gabriel Hernandez Solano, Isabel Strauss, DaMario Walker-Brown
(Co-Architect) Marble Fairbanks Architects
(Structural) Silman
(MEP | FP | Sustainability) Setty
(Civil) AKRF
(Lighting) Tillotson Design Assoc.
(IT/AV | Security) Cosentini Associates
(Acoustics) Longman Lindsey
(Cost Estimating) Nasco Construction Services
(Code Consulting | Expediting) Milrose Consultants
(Specifications) Construction Specifications, Inc
(Landscape) Elizabeth Kennedy Landscape Architect and Jordan Weber
(Sustainability) Atelier 10Environmental
(Graphics) WeShouldDoItAll
(LEED Consulting) Code Green
(Envelope) Front, Inc.
(Bird Mitigation) Bird Control Advisory
(Civil Engineering) AKRF
Image © MASS Design Group
",Sites of Learning,
Boston Public Library,William Rawn Associates,2016,"Collaborating with the City of Boston and the Boston Public Library, WRA transformed the Boylston Street Building (formerly Johnson Building) from an inward focused, solid 'bunker' to an outward facing, transparent and welcoming hub for engagement and learning, re-energizing the Library's longstanding mission of 'Free To All.'","(Architect) William Rawn Associates
(Structural Engineer) LeMessurier Consultants, Inc.
(Mechanical / Electrical Engineer) Cosentini Associates, Inc.
(Civil Engineer) Nitsch Engineering
(Landscape Architect) Reed Hilderbrand
(Interior Designer)  Lab [3.2] Architecture
(Lighting Consultant) Lam Partners, Inc.
(AV Consultant) Cavanaugh Tocci Associates, Inc.
(Photographer) Robert Benson, Bruce Martin, WGBH Website + BPL Website
Photo © Bruce Martin
",Sites of Learning,
Cambridge Public Library,William Rawn Associates and Ann Beha Architects,2009,The 2009 re-envisioning of the Cambridge Public Library included a new building standing shoulder-to-shoulder with the renovated 1889 Historic Main Library and a newly landscaped City Park. Significant renovations renewed the Main Library's importance to the community.,"(Architect) William Rawn Associates and Ann Beha Architects
(Structural Engineer) LeMessurier Consultants, Inc.
(Mechanical / Electrical Engineer) Vanderweil Engineers
(Civil Engineer) H.W. Moore Associate, Inc.
(Landscape Architect) Michael Van Valkenburgh Associates
(Double Skin Curtainwall) Gartner Steel and Glass
(Facade Engineer) Arup
(LEED Consultant) Viridian Energy & Environmental, LLC
(Interior Designer) WRA, Ann Beha, with Lab [3.2] Architecture
(Lighting Consultant) Horton Lees Brogden Lighting Design
(Acoustical Engineer) Acentech
(Photographer) Robert Benson, Chuck Choi
Photo © Robert Benson
",Sites of Learning,
Ragon Institute,PAYETTE,2024,"The Ragon Institute of Mass General, MIT and Harvard unites researchers at the forefront of eradicating infectious diseases. The new 323,000 GSF home occupies a free-standing triangular site on Main Street in Cambridge, MA between Kendall Square, MIT and the Port neighborhood.","(Architect) PAYETTE
(Construction Manager) Consigli Construction;
(Engineer – Civil) Bristol Engineering;
(Engineer – MEP/FP/IT) Arup;
(Engineer – Structural)  Arup;
(Code) Code Red Consultants;
(Sustainability) The Green Engineer;
(Envelope) Studio NYL;
(Cost Estimator) Consigli Construction;
(Lighting) Arup;
(Geotechnical) Haley & Aldrich;
(Vertical Conveyance) VDA;
(Acoustics/Vibration) Acentech;
(Energy Modeler) Arup;
(Food Service Consultant) Colburn Guyette;
(Audio Visual)  AVH Technology Partners;
(Parking) Walker Consultants;
(Wind Dispersion) CPP Wind Engineering Consultants;
(Landscape) PAYETTE
(Childcare) StudioMLA
Photo © Robert Benson
",Sites of Learning,
Shelburne Museum Perry Center,Annum Architects with Two Row Architect,2024,"Incorporated in 1947, Shelburne Museum is the largest art and history museum in northern New England and Vermont's foremost public resource for programming in the arts and humanities. The Perry Center for Native American Art will be the newest addition to the 45-acre, 39-building campus.","(Architect) Annum Architects with Collaborating Architect Two Row Architect
(Landscape Architect) Reed Hilderbrand LLC, (Elizabeth Randall);
(Structural Engineer) Thornton Tomasetti, (Paul Becker);
(MEP/FP Engineer) Kohler Ronan, (Chris Vahlsing);
(Civil Engineer) Civil Engineering Associates, (Chris Galipeau);
(Specifications) Kalin Associates, (Mark Kalin);
(Lighting Design) Sladen Feinstein Integrated Lighting, (Reiko Kagawa)
Image © Annum Architects, Two Row Architect, Reed Hilderbrand
",Sites of Culture,
"IBA ""La CASA"" Cultural Center",STUDIO ENÉE with Annum Architects,2025,"The Center for the Arts, Self-Determination, and Activism (The CASA) is the new home for Inquilinos Boricuas en Acción (IBA). The building will host a variety of crucial cultural and community programs across 26,400sf of space, featuring classrooms, galleries, offices, a planted terrace, and a double-height, 235-seat multi-purpose room.","(Prime Architect) STUDIO ENÉE: Natasha Espada AIA, Principal-in-Charge; Jose Arias Soliva AIA, Project Manager; Danniely Staback Rodriguez AIA, Project Architect, Michael Schanbacher, AIA
(Collaborating Architect) Annum Architects: Ann M Beha FAIA Senior Collaborating Architect; Steven Gerrard AIA, Principal; Rita Terjeki AIA, Project Architect; Emily Kruse Logan, NCIDQ;
(Client) Inquilinos Boricuas en Acción: Vanessa Calderon-Rosado, Executive Director; Mayra Negron-Roche, Chief Operating Officer; Jason Dulong, Facilities Director; Cecil Andrews, Site Superintendent
(MEPFP Engineers) Kohler Ronan; (Structural Engineer) Le Messurier; (Civil Engineer) Nitsch Engineering; (Geotechnical Engineer) McPhail Associates LLC; (Code Consulting) Solutions Engineering Inc.; (Acoustical) Acentech; (Lighting) Available Light; (Theater Design) Nextstage Design; (Sustainability) VvS Architects & Consultants; (Cost Estimator) Fennessy Consulting
(Contractor) D.F. Pray
Image © Studio ENÉE
",Sites of Culture,
